repo,number_merged_prs
apache/dubbo-admin,114
apache/aries-containers,1
apache/jclouds-labs-openstack,1
apache/bigtop,106
apache/sling-org-apache-sling-jcr-repoinit,4
apache/sling-org-apache-sling-jobs-it,1
apache/myfaces-tobago,12
apache/fineract-cn-portfolio,16
apache/fineract-cn-template,8
apache/incubator-datasketches-memory,60
apache/maven-project-info-reports-plugin,1
apache/sling-org-apache-sling-installer-core,3
apache/geronimo-opentracing,2
apache/streams-examples,21
apache/struts,286
apache/servicemix-bundles,99
apache/flink,1328
apache/servicemix,9
apache/fineract-cn-permitted-feign-client,6
apache/logging-log4j2,62
apache/knox,84
apache/fluo-examples,4
apache/incubator-datasketches-pig,45
apache/sling-org-apache-sling-feature-modelconverter,4
apache/sling-org-apache-sling-testing-jcr-mock,4
apache/rocketmq-externals,108
apache/sling-org-apache-sling-feature-analyser,10
apache/servicemix-specs,9
apache/tomee,363
apache/sling-org-apache-sling-tenant,1
apache/lens,4
apache/syncope,26
apache/tika,109
apache/joshua,70
apache/roller,19
apache/predictionio-sdk-java,4
apache/sling-org-apache-sling-feature-extension-apiregions,1
apache/samza,159
apache/camel-quarkus,90
apache/brooklyn-server,956
apache/maven-shade-plugin,6
apache/drill,241
apache/rocketmq-ons,7
apache/incubator-tephra,1
apache/aries-journaled-events,14
apache/incubator-dolphinscheduler,379
apache/sling-org-apache-sling-servlets-resolver,4
apache/aries-jax-rs-whiteboard,10
apache/juneau,43
apache/fineract-cn-cheques,8
apache/fineract-cn-deposit-account-management,13
apache/hbase-filesystem,4
apache/netbeans-jackpot30,11
apache/sling-org-apache-sling-jcr-packageinit,1
apache/openwebbeans-meecrowave-examples,3
apache/maven-compiler-plugin,12
apache/james-jspf,1
apache/accumulo-maven-plugin,4
apache/sling-org-apache-sling-installer-factory-packages,1
apache/incubator-dlab,274
apache/incubator-hivemall,2
apache/usergrid,460
apache/gora,145
apache/geronimo-metrics,1
apache/sling-org-apache-sling-jcr-resource,4
apache/royale-compiler,11
apache/maven-resolver,6
apache/incubator-taverna-mobile,69
apache/incubator-tamaya-extensions,28
apache/nifi-maven,2
apache/sling-org-apache-sling-servlets-post,1
apache/sling-org-apache-sling-installer-provider-installhook,1
apache/accumulo-testing,71
apache/bval,3
apache/vxquery,52
apache/incubator-sdap-mudrod,39
apache/parquet-format,52
apache/maven-wagon,13
apache/commons-text,68
apache/samza-hello-samza,8
apache/geode-benchmarks,98
apache/sling-org-apache-sling-resourceresolver,8
apache/maven-jxr,5
apache/sling-org-apache-sling-models-impl,9
apache/maven,29
apache/sling-maven-plugin,2
apache/sling-slingfeature-maven-plugin,31
apache/flex-blazeds,1
apache/sling-org-apache-sling-discovery-oak,1
apache/fineract-cn-postgresql,5
apache/fineract-cn-async,7
apache/groovy,207
apache/incubator-iotdb,309
apache/incubator-taverna-plugin-gis,3
apache/mina,2
apache/maven-archetypes,2
apache/sling-org-apache-sling-scripting-jsp-taglib,1
apache/dubbo-benchmark,3
apache/james-jsieve,2
apache/kafka,1915
apache/rocketmq-exporter,2
apache/maven-checkstyle-plugin,1
apache/sling-org-apache-sling-testing-sling-mock,1
apache/cordova-android,185
apache/maven-integration-testing,1
apache/servicecomb-java-chassis,854
apache/sling-org-apache-sling-dynamic-include,5
apache/sling-org-apache-sling-servlet-helpers,3
apache/dubbo,1231
apache/openmeetings,9
apache/plc4x,58
apache/nifi-registry,23
apache/geronimo-jcache-simple,1
apache/skywalking-oal-tool,11
apache/avro,314
apache/cloudstack,1902
apache/sling-org-apache-sling-distribution-core,7
apache/servicecomb-fence,11
apache/sling-org-apache-sling-mom,1
apache/maven-jdeps-plugin,1
apache/maven-ejb-plugin,1
apache/struts-extras,2
apache/jclouds-labs,3
apache/sling-org-apache-sling-commons-fsclassloader,1
apache/incubator-iceberg,242
apache/incubator-datasketches-characterization,16
apache/commons-fileupload,3
apache/calcite,220
apache/mnemonic,94
apache/hbase-operator-tools,15
apache/hadoop,434
apache/cassandra,3
apache/sling-org-apache-sling-feature-io,8
apache/archiva-redback-core,9
apache/sling-org-apache-sling-i18n,1
apache/maven-scm,22
apache/sling-org-apache-sling-repoinit-parser,2
apache/fineract-cn-notifications,10
apache/fluo,460
apache/tinkerpop,909
apache/james-project,8
apache/accumulo-examples,32
apache/dubbo-hessian-lite,8
apache/sling-org-apache-sling-oak-restrictions,1
apache/fineract-cn-service-starter,10
apache/commons-weaver,1
apache/sling-org-apache-sling-testing-paxexam,1
apache/sling-org-apache-sling-feature-launcher,8
apache/sling-org-apache-sling-resourcemerger,2
apache/beam,5290
apache/commons-bcel,12
apache/cxf-fediz,15
apache/opennlp-sandbox,25
apache/marmotta,13
apache/hive,15
apache/clerezza,3
apache/httpcomponents-core,46
apache/poi,2
apache/directory-server,11
apache/apex-core,470
apache/bahir-flink,11
apache/sling-org-apache-sling-rewriter,2
apache/apex-malhar,483
apache/maven-archiver,5
apache/commons-csv,4
apache/commons-compress,6
apache/fineract-cn-payroll,12
apache/activemq-artemis,912
apache/hama,13
apache/mahout,37
apache/sling-org-apache-sling-feature-extension-content,11
apache/incubator-heron,2104
apache/sling-org-apache-sling-app-cms,4
apache/maven-surefire,77
apache/commons-imaging,10
apache/maven-site-plugin,3
apache/geode-examples,55
apache/chukwa,2
apache/freemarker,37
apache/sling-org-apache-sling-distribution-journal-kafka,4
apache/incubator-taverna-server,2
apache/sling-org-apache-sling-commons-mime,3
apache/empire-db,2
apache/sling-org-apache-sling-scripting-sightly-runtime,1
apache/predictionio-template-java-ecom-recommender,2
apache/commons-rng,54
apache/commons-beanutils,1
apache/maven-dependency-analyzer,3
apache/fineract-cn-anubis,6
apache/commons-vfs,14
apache/commons-pool,5
apache/incubator-druid,4783
apache/fineract-cn-office,12
apache/accumulo-wikisearch,4
apache/distributedlog,5
apache/incubator-taverna-engine,4
apache/sling-org-apache-sling-query,2
apache/jmeter,10
apache/incubator-nemo,207
apache/maven-jar-plugin,1
apache/nifi-minifi,18
apache/dubbo-samples,47
apache/nifi,113
apache/sling-org-apache-sling-scripting-sightly-testing,2
apache/fineract-cn-data-jpa,6
apache/reef,27
apache/fineract-cn-default-setup,9
apache/skywalking,1547
apache/maven-shared-utils,1
apache/struts-examples,14
apache/crunch,7
apache/maven-plugin-tools,5
apache/maven-pmd-plugin,8
apache/ant-ivyde,2
apache/aries-jpa,7
apache/jackrabbit,1
apache/storm,2368
apache/metamodel-membrane,15
apache/commons-dbutils,1
apache/airavata-custos,4
apache/maven-deploy-plugin,1
apache/camel,953
apache/dubbo-rpc-jsonrpc,5
apache/directory-kerby,2
apache/opennlp-addons,3
apache/incubator-tamaya,39
apache/maven-doxia,5
apache/fineract-cn-cassandra,7
apache/commons-numbers,28
apache/incubator-taverna-commandline,2
apache/commons-jexl,3
apache/activemq,98
apache/incubator-crail,51
apache/commons-math,24
apache/ignite-teamcity-bot,26
apache/incubator-samoa,19
apache/logging-chainsaw,3
apache/helix,323
apache/fineract-cn-teller,14
apache/myfaces,59
apache/maven-archetype,4
apache/metamodel,58
apache/lucene-solr,175
apache/sling-org-apache-sling-validation-core,1
apache/incubator-shardingsphere,908
apache/accumulo,644
apache/sling-org-apache-sling-commons-classloader,1
apache/sis,8
apache/commons-scxml,4
apache/commons-statistics,7
apache/ambari-infra,25
apache/olingo-odata4,8
apache/curator,208
apache/sling-org-apache-sling-jcr-base,1
apache/unomi,80
apache/openwhisk-runtime-ballerina,17
apache/commons-io,13
apache/uima-uimafit,55
apache/fineract-cn-api,7
apache/archiva,24
apache/fineract-cn-command,8
apache/fineract-cn-reporting,10
apache/commons-collections,13
apache/cassandra-diff,2
apache/qpid-jms,8
apache/parquet-mr,126
apache/sling-org-apache-sling-capabilities,1
apache/incubator-ratis,5
apache/dubbo-proxy,5
apache/ant-ivy,27
apache/shiro,71
apache/directory-studio,5
apache/cxf,241
apache/camel-k-runtime,89
apache/commons-geometry,27
apache/commons-codec,5
apache/rocketmq,332
apache/fluo-recipes,100
apache/atlas,6
apache/karaf-cave,20
apache/commons-ognl,3
apache/calcite-avatica,23
apache/mina-sshd,4
apache/brooklyn-library,147
apache/samza-beam-examples,1
apache/ode,2
apache/ant,16
apache/velocity-engine,1
apache/incubator-taverna-osgi,1
apache/synapse,7
apache/sling-org-apache-sling-jobs,1
apache/maven-indexer,16
apache/cxf-xjc-utils,4
apache/sling-whiteboard,31
apache/maven-filtering,1
apache/maven-assembly-plugin,1
apache/incubator-weex-playground,16
apache/sling-org-apache-sling-scripting-core,2
apache/geode,2705
apache/sling-org-apache-sling-pipes,8
apache/incubator-rya,34
apache/directory-fortress-commander,2
apache/portals-pluto,16
apache/phoenix,51
apache/tomee-site-generator,16
apache/maven-release,3
apache/maven-dependency-plugin,5
apache/sling-org-apache-sling-starter,4
apache/commons-dbcp,7
apache/isis,102
apache/incubator-taverna-workbench,3
apache/fineract-cn-mariadb,8
apache/servicemix-maven-plugins,1
apache/commons-rdf,37
apache/fineract-cn-mobile,41
apache/johnzon,15
apache/airavata-mft,1
apache/sling-org-apache-sling-feature-inventoryprinter,1
apache/hbase,349
apache/sling-org-apache-sling-extensions-webconsolesecurityprovider,1
apache/ambari,2721
apache/servicecomb-toolkit,27
apache/commons-lang,92
apache/jclouds,25
apache/incubator-taverna-language,33
apache/bookkeeper,348
apache/aries,3
apache/ignite,183
apache/incubator-brooklyn,1062
apache/ambari-logsearch,70
apache/incubator-sdap-ningester,12
apache/deltaspike,31
apache/incubator-taverna-common-activities,18
apache/maven-invoker,2
apache/sling-org-apache-sling-servlets-annotations,2
apache/incubator-atlas,1
apache/maven-doxia-sitetools,1
apache/httpcomponents-client,41
apache/nutch,283
apache/incubator-gobblin,1562
apache/cayenne,295
apache/geronimo-jwt-auth,1
apache/maven-jlink-plugin,3
apache/sling-org-apache-sling-launchpad-base,4
apache/sqoop,12
apache/zeppelin,23
apache/netbeans,1168
apache/maven-invoker-plugin,6
apache/maven-help-plugin,1
apache/opennlp,156
apache/fineract-cn-demo-server,19
apache/openjpa,14
apache/ant-antlibs-antunit,1
apache/sling-org-apache-sling-jcr-contentparser,2
apache/sling-org-apache-sling-jcr-contentloader,1
apache/cassandra-sidecar,2
apache/oodt,50
apache/servicecomb-saga-actuator,1
apache/incubator-edgent-samples,6
apache/logging-log4j-audit,17
apache/sling-org-apache-sling-distribution-journal,7
apache/fineract-cn-provisioner,10
apache/netbeans-html4j,19
apache/incubator-myriad,29
apache/mina-vysper,9
apache/sling-org-apache-sling-caconfig-impl,1
apache/commons-crypto,14
apache/systemml,7
apache/sling-org-apache-sling-api,8
apache/tajo,15
apache/fineract-cn-lang,8
apache/netbeans-mavenutils-nbm-maven-plugin,1
apache/sling-org-apache-sling-commons-log,3
apache/commons-cli,6
apache/fineract-cn-crypto,6
apache/james-mime4j,8
apache/sling-org-apache-sling-event,2
apache/incubator-hudi,384
apache/maven-jmod-plugin,2
apache/sling-org-apache-sling-commons-html,4
apache/rocketmq-spring,32
apache/maven-toolchains-plugin,1
apache/incubator-datasketches-java,214
apache/karaf-cellar,40
apache/flink-playgrounds,1
apache/pulsar,3465
apache/airavata,134
apache/directory-scimple,18
apache/directory-fortress-core,8
apache/sling-org-apache-sling-scripting-sightly,3
apache/sling-org-apache-sling-serviceusermapper,1
apache/guacamole-client,380
apache/sling-org-apache-sling-connection-timeout-agent,1
apache/sling-ide-tooling,7
apache/incubator-tuweni,25
apache/commons-net,1
apache/brooklyn-docs,261
apache/incubator-pinot,3857
apache/dubbo-spring-boot-project,124
apache/maven-enforcer,2
apache/incubator-datasketches-vector,7
apache/commons-configuration,3
apache/sling-org-apache-sling-servlets-get,2
apache/fineract,376
apache/sling-org-apache-sling-feature-cpconverter,17
apache/fineract-cn-test,10
apache/wicket,115
apache/fineract-cn-identity,13
apache/sling-org-apache-sling-testing-clients,9
apache/jena,472
apache/sling-htl-maven-plugin,1
apache/maven-javadoc-plugin,13
apache/attic-polygene-java,3
apache/incubator-tamaya-sandbox,21
apache/fineract-cn-customer,13
apache/creadur-rat,1
apache/sling-org-apache-sling-xss,4
apache/incubator-edgent,324
apache/openwhisk-runtime-java,54
apache/servicecomb-pack,362
apache/sling-org-apache-sling-feature,10
apache/sling-org-apache-sling-installer-factory-configuration,4
apache/cxf-dosgi,4
apache/flume,9
apache/jclouds-examples,2
apache/sling-samples,1
apache/ambari-metrics,16
apache/db-jdo,6
apache/servicecomb-samples,15
apache/maven-scm-publish-plugin,2
apache/ant-easyant-core,2
apache/directory-fortress-realm,2
apache/activemq-artemis-native,2
apache/incubator-omid,8
apache/directory-ldap-api,6
apache/sling-org-apache-sling-installer-it,1
apache/maven-plugins,1
apache/james-jdkim,3
apache/incubator-datasketches-hive,34
apache/sling-org-apache-sling-tracer,1
apache/streams,384
apache/sling-org-apache-sling-caconfig-api,1
apache/struts-sandbox,1
apache/directory-fortress-enmasse,3
apache/fineract-cn-group,11
apache/aries-rsa,13
apache/qpid-proton-j,5
apache/freemarker-generator,1
apache/geronimo-openapi,9
apache/sling-org-apache-sling-jcr-jackrabbit-usermanager,2
apache/sling-org-apache-sling-committer-cli,5
apache/fineract-cn-accounting,14
apache/sling-org-apache-sling-scripting-sightly-compiler,1
apache/metron,8
apache/eagle,22
apache/tomcat,17
apache/aurora,27
apache/sling-slingstart-maven-plugin,5
apache/griffin,4
apache/freemarker-online-tester,9
apache/karaf,624
apache/sling-org-apache-sling-testing-osgi-mock,5
apache/incubator-shardingsphere-example,93
apache/jspwiki,2
apache/fineract-cn-rhythm,11
apache/kylin,571
apache/sling-org-apache-sling-engine,4
,65006
